product_id,status
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,refund
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,refund
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,refund
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,refund
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,refund
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,refund
1,order
1,order
1,order
1,order
1,refund
1,order
1,order
1,refund
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,refund
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,refund
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
1,order
