created_at,website_session_id,pageview_url,billing_price,billing_2_price
"2012-03-19 08:42:46",20,/billing,49.99,NULL
"2012-03-19 17:27:37",104,/billing,49.99,NULL
"2012-03-20 04:44:45",147,/billing,49.99,NULL
"2012-03-20 07:41:45",160,/billing,49.99,NULL
"2012-03-20 09:28:15",177,/billing,49.99,NULL
"2012-03-20 14:12:47",232,/billing,49.99,NULL
"2012-03-20 15:03:41",241,/billing,49.99,NULL
"2012-03-20 21:35:27",295,/billing,49.99,NULL
"2012-03-21 00:35:01",304,/billing,49.99,NULL
"2012-03-21 04:45:58",317,/billing,49.99,NULL
"2012-03-21 05:28:02",321,/billing,49.99,NULL
"2012-03-21 06:21:33",327,/billing,49.99,NULL
"2012-03-21 06:45:32",332,/billing,49.99,NULL
"2012-03-21 07:12:05",336,/billing,49.99,NULL
"2012-03-21 14:40:06",428,/billing,49.99,NULL
"2012-03-21 15:13:05",434,/billing,49.99,NULL
"2012-03-21 18:28:11",465,/billing,49.99,NULL
"2012-03-22 04:15:33",507,/billing,49.99,NULL
"2012-03-22 08:03:49",536,/billing,49.99,NULL
"2012-03-22 15:49:57",615,/billing,49.99,NULL
"2012-03-22 18:33:40",639,/billing,49.99,NULL
"2012-03-23 10:09:46",732,/billing,49.99,NULL
"2012-03-23 12:16:23",750,/billing,49.99,NULL
"2012-03-23 15:14:48",783,/billing,49.99,NULL
"2012-03-24 07:21:40",844,/billing,49.99,NULL
"2012-03-25 06:32:41",908,/billing,49.99,NULL
"2012-03-25 06:51:27",909,/billing,49.99,NULL
"2012-03-25 14:00:12",940,/billing,49.99,NULL
"2012-03-25 19:23:16",954,/billing,49.99,NULL
"2012-03-26 08:03:39",1018,/billing,49.99,NULL
"2012-03-26 08:25:44",1023,/billing,49.99,NULL
"2012-03-26 12:13:56",1059,/billing,49.99,NULL
"2012-03-26 14:00:19",1081,/billing,49.99,NULL
"2012-03-26 15:55:25",1094,/billing,49.99,NULL
"2012-03-26 16:06:39",1098,/billing,49.99,NULL
"2012-03-26 16:54:41",1105,/billing,49.99,NULL
"2012-03-26 17:19:25",1107,/billing,49.99,NULL
"2012-03-26 19:13:07",1125,/billing,49.99,NULL
"2012-03-27 13:18:43",1243,/billing,49.99,NULL
"2012-03-27 14:53:30",1256,/billing,49.99,NULL
"2012-03-28 06:30:06",1330,/billing,49.99,NULL
"2012-03-28 07:56:58",1343,/billing,49.99,NULL
"2012-03-28 14:55:52",1419,/billing,49.99,NULL
"2012-03-28 19:24:10",1454,/billing,49.99,NULL
"2012-03-28 20:45:52",1463,/billing,49.99,NULL
"2012-03-29 14:11:05",1581,/billing,49.99,NULL
"2012-03-29 15:49:07",1605,/billing,49.99,NULL
"2012-03-29 21:09:30",1643,/billing,49.99,NULL
"2012-03-29 22:25:18",1646,/billing,49.99,NULL
"2012-03-30 00:27:35",1654,/billing,49.99,NULL
"2012-03-30 08:06:25",1685,/billing,49.99,NULL
"2012-03-30 08:24:06",1691,/billing,49.99,NULL
"2012-03-30 10:47:30",1709,/billing,49.99,NULL
"2012-03-30 12:26:49",1726,/billing,49.99,NULL
"2012-03-30 12:39:09",1729,/billing,49.99,NULL
"2012-03-30 22:22:18",1790,/billing,49.99,NULL
"2012-03-31 00:32:43",1802,/billing,49.99,NULL
"2012-03-31 04:40:10",1807,/billing,49.99,NULL
"2012-03-31 08:25:39",1823,/billing,49.99,NULL
"2012-03-31 17:24:33",1863,/billing,49.99,NULL
"2012-04-01 04:45:11",1890,/billing,49.99,NULL
"2012-04-01 10:38:27",1912,/billing,49.99,NULL
